episode,step,reward
98,10,0.174990
98,11,0.173854
98,12,0.059060
98,13,0.068949
98,14,0.068776
98,15,0.017209
99,1,0.165226
99,2,0.130242
99,3,0.027324
99,4,0.083319
99,5,0.099919
99,6,0.083229
99,7,0.119364
99,8,0.054434
99,9,0.088875
99,10,0.143416
99,11,0.090445
99,12,0.010059
99,13,0.116575
99,14,0.094555
99,15,0.128413
100,1,0.058607
100,2,0.098404
100,3,0.158803
100,4,0.128910
100,5,0.049190
100,6,0.137177
100,7,0.134207
100,8,0.031290
100,9,0.134507
100,10,0.086941
100,11,0.197447
100,12,0.140372
100,13,0.154078
100,14,0.087047
100,15,0.143553
101,1,0.151202
101,2,0.106913
101,3,0.146876
101,4,0.125390
101,5,0.056659
101,6,0.151202
101,7,0.075974
101,8,0.020119
101,9,0.140595
101,10,0.077290
101,11,0.031838
101,12,0.014025
101,13,0.070816
101,14,0.015379
101,15,0.070070
102,1,0.163360
102,2,0.142260
102,3,0.135746
102,4,0.010170
102,5,0.137578
102,6,0.057488
102,7,0.014025
102,8,0.102654
102,9,0.103681
102,10,0.088293
102,11,0.118170
102,12,0.189979
102,13,0.148052
102,14,0.091299
102,15,0.085095
103,1,0.169635
103,2,0.201118
103,3,0.250006
103,4,0.012811
103,5,0.082631
